mt_user_id;start_balance;daily_drawdown
181109;-34.14;-32.43
181732;10397.27;9877.41
182328;0.00;0.00
183112;10000.00;9500.00
183849;0.00;0.00
183951;0.00;0.00
185985;7849.00;7456.55
186002;9096.00;8641.20
186297;10170.70;9662.17
186308;113932.37;108235.75
186310;91948.38;87350.96
189218;10000.00;9500.00
192909;9954.24;9456.53
193333;46542.85;44215.71
193975;48335.46;45918.69
197162;10101.02;9595.97
198169;9059.18;8606.22
198828;180069.39;171065.92
198883;188055.22;178652.46
199494;0.00;0.00
200881;16743.16;15906.00
201721;0.00;0.00
202696;10152.28;9644.67
202699;51728.93;49142.48
202700;9369.85;8901.36
203095;9957.02;9459.17
203230;9733.62;9246.94
203231;9533.07;9056.42
203235;9693.58;9208.90
206432;90015.46;85514.69
206493;46977.31;44628.44
207743;48790.62;46351.09
208332;9678.78;9194.84
208336;10872.67;10329.04
209725;93246.52;88584.19
209728;99892.29;94897.68
209790;49836.38;47344.56
210555;9971.76;9473.17
210663;0.00;0.00
210741;10000.00;9500.00
210871;9763.83;9275.64
211067;10695.20;10160.44
211071;9910.48;9414.96
211075;97865.30;92972.04
212401;10000.00;9500.00
212811;9678.57;9194.64
213467;99832.53;94840.90
213602;10380.91;9861.86
213611;9336.41;8869.59
213722;9837.70;9345.82
213875;22740.47;21603.45
214226;100349.60;95332.12
214415;0.00;0.00
214907;9497.15;9022.29
214929;9449.16;8976.70
214943;96366.89;91548.55
215314;10164.74;9656.50
215983;0.00;0.00
216412;9006.97;8556.62
216511;10124.49;9618.27
216805;0.00;0.00
216833;0.00;0.00
216834;24623.55;23392.37
217070;10127.51;9621.13
217086;9842.49;9350.37
217591;48138.99;45732.04
217746;45211.77;42951.18
218345;0.00;0.00
218657;102117.78;97011.89
218776;48594.02;46164.32
218945;10053.57;9550.89
219259;9473.10;8999.45
219261;24342.81;23125.67
219263;0.00;0.00
219590;0.00;0.00
219592;0.00;0.00
219723;49882.79;47388.65
220046;0.00;0.00
220825;0.00;0.00
220889;0.00;0.00
220891;9882.96;9388.81
221071;0.00;0.00
221286;0.00;0.00
221523;9259.02;8796.07
221556;22764.89;21626.65
221742;0.00;0.00
221744;0.00;0.00
221745;48125.12;45718.86
221768;0.00;0.00
221776;9927.93;9431.53
222477;0.00;0.00
222482;10020.69;9519.66
222509;10121.01;9614.96
222519;0.00;0.00
222716;10974.53;10425.80
222718;9046.45;8594.13
222799;49999.91;47499.91
222815;51111.57;48555.99
222927;0.00;0.00
223094;24361.85;23143.76
223220;10205.54;9695.26
223441;10598.16;10068.25
223443;97390.63;92521.10
223506;51614.04;49033.34
223508;9971.39;9472.82
223785;0.00;0.00
224086;0.00;0.00
224089;0.00;0.00
224220;192285.82;182671.53
224547;9842.04;9349.94
224938;0.00;0.00
225716;0.00;0.00
225718;9999.72;9499.73
225739;0.00;0.00
225741;9779.40;9290.43
225750;0.00;0.00
225919;92980.37;88331.35
225923;0.00;0.00
226458;0.00;0.00
226654;10170.88;9662.34
226883;0.00;0.00
227043;9778.80;9289.86
227045;0.00;0.00
227526;0.00;0.00
227527;9275.63;8811.85
227528;0.00;0.00
227577;0.00;0.00
227578;0.00;0.00
227580;0.00;0.00
227583;0.00;0.00
227588;11660.18;11077.17
227591;0.00;0.00
227619;0.00;0.00
227621;9973.73;9475.04
227689;9811.24;9320.68
227758;0.00;0.00
227830;0.00;0.00
227839;0.00;0.00
227867;0.00;0.00
227870;25398.08;24128.18
227949;9767.85;9279.46
227969;0.00;0.00
227989;0.00;0.00
227990;0.00;0.00
228076;0.00;0.00
228080;194368.63;184650.20
228377;0.00;0.00
228381;0.00;0.00
228404;0.00;0.00
229099;97522.61;92646.48
229103;24342.82;23125.68
229105;0.00;0.00
229643;0.00;0.00
229662;9933.56;9436.88
229663;0.00;0.00
229672;0.00;0.00
229684;0.00;0.00
229685;0.00;0.00
229694;32010.91;30410.36
229748;9834.62;9342.89
229749;0.00;0.00
230227;0.00;0.00
230230;100269.94;95256.44
230394;0.00;0.00
230412;0.00;0.00
230542;50000.00;47500.00
231249;0.00;0.00
231259;9999.96;9499.96
231264;53775.30;51086.54
231276;9463.85;8990.66
231281;0.00;0.00
231282;0.00;0.00
231286;0.00;0.00
231479;0.00;0.00
231482;0.00;0.00
231493;0.00;0.00
231893;10056.21;9553.40
231903;10399.57;9879.59
231921;10001.03;9500.98
