mt_user_id;days_traded
182328;1
183951;5
181714;7
183849;5
181111;1
181732;6
182326;2
181727;1
181109;4
183112;3
186002;1
185985;1
186006;0
186275;0
186308;18
186297;3
186295;0
186310;7
186903;0
189218;0
189197;0
189207;0
189214;84
191099;3
192913;11
192909;1
193333;1
193975;2
196423;13
197162;32
198121;40
198169;41
198167;0
198518;41
198828;31
198883;62
198878;20
201051;0
200928;69
200881;2
202027;44
202152;17
202154;24
202699;13
202692;24
202700;3
202696;36
203256;7
203230;15
203235;37
203251;6
203231;24
203095;3
206432;25
206493;3
206883;1
207098;3
207743;18
207745;2
208332;50
209029;14
209425;1
209728;16
209725;30
209790;17
210554;11
210555;36
210741;0
211075;26
210871;28
211071;47
208336;0
211074;4
211067;24
212090;32
212401;0
212811;9
213467;4
213722;5
213611;33
213602;32
213600;5
208357;1
213875;37
213841;11
214226;34
214926;22
214907;19
214929;34
214911;44
243194;0
243198;1
242914;7
242911;3
243196;7
243171;0
229679;0
243199;11
243169;0
238544;0
237473;0
229648;1
243181;9
240368;1
239909;1
243175;0
243167;0
243057;0
239911;1
242909;9
242723;0
240568;1
221071;1
242750;0
237467;1
212088;1
242760;8
242749;0
215314;47
216412;11
216405;1
216511;16
216834;31
217022;37
217070;27
217086;10
217021;4
217746;26
217591;25
207176;1
211892;1
216809;1
217922;23
218183;22
217943;14
218657;29
218776;30
218594;6
218767;10
218945;2
218942;21
218345;1
216797;1
219261;22
207184;1
219259;16
218600;1
216794;1
219723;1
220397;1
216805;1
219333;25
220984;0
218722;1
220891;24
221743;0
221745;13
221556;22
221470;5
221474;27
221271;10
221776;6
221523;1
219592;1
222243;37
222259;22
222249;1
222482;23
222799;37
222815;28
223094;16
222793;21
222514;2
221286;1
214415;0
222509;6
222716;22
222718;13
222308;1
223220;29
223505;6
223443;28
223506;8
223441;19
223508;25
224084;5
223784;5
224220;32
216411;0
221283;1
224085;17
220825;1
224243;1
224710;24
224547;20
225919;33
225917;28
217036;1
226060;7
225713;14
225718;12
222267;1
225741;30
244074;11
243928;6
227525;1
240485;1
243159;1
243972;11
243708;10
243976;4
238681;1
243176;1
243804;0
244097;8
238987;1
242286;1
243970;9
243197;4
243807;0
243938;5
239912;1
243799;0
243964;9
244062;4
244104;0
219461;1
240584;1
243941;10
243949;0
226690;3
226654;9
220289;1
223785;1
226188;0
218791;1
217939;1
227386;1
227580;15
225923;1
227043;4
227399;12
227527;20
225725;1
227588;28
227837;29
227846;1
227870;9
222927;1
227869;14
217588;1
227621;6
227689;12
227577;1
226475;1
224938;0
224088;1
227975;2
227972;20
227949;19
227988;14
227396;1
227830;1
220943;0
227965;1
222477;1
227876;1
227042;1
218596;1
229099;5
229103;12
225739;1
228080;4
227866;1
229101;28
228372;1
229423;10
227867;0
227968;1
228381;1
229694;7
228404;1
229662;9
228377;1
229748;21
229672;1
229427;5
219590;0
227591;1
227989;1
227526;1
230230;4
228378;1
230544;16
227977;1
230542;0
230216;12
215983;1
201721;1
229105;1
231288;16
231264;19
227991;1
226883;1
199494;1
229665;1
227528;1
231276;19
231259;13
231285;10
231256;17
229685;1
231956;3
230236;1
224721;1
227754;0
232180;13
231282;1
210663;1
228397;1
231921;1
227999;1
231893;15
231903;22
225924;1
223233;0
229663;0
232535;4
232524;4
232589;7
232533;18
232584;8
232529;15
232532;13
230394;1
227410;1
233662;18
233656;3
233661;16
233823;2
233775;4
231479;1
234734;5
232285;1
233797;20
233789;15
218938;1
234288;20
234213;1
229688;1
234729;9
216678;1
233805;5
232284;1
231249;1
233818;6
225750;1
227951;1
224545;1
226458;1
234228;1
233809;1
235188;1
235186;17
214965;1
206297;1
234728;1
227758;1
235200;1
220941;1
229643;1
235424;15
232559;1
235406;10
231286;1
231482;1
235755;11
236229;0
235750;13
236295;2
232181;0
235748;11
236294;11
236213;15
236568;15
237061;5
235196;0
231281;0
230222;1
227583;1
232177;1
233759;1
233810;1
219263;1
236566;3
236713;1
232283;1
224086;0
236210;0
227045;1
235182;1
236545;1
232534;1
237241;1
222519;1
237230;9
237238;13
238120;3
236573;1
238155;0
235194;1
238122;10
232173;1
238124;13
226470;1
233785;1
237480;13
238022;12
227987;1
234732;1
234191;1
238137;17
238026;3
237234;1
225716;0
236584;1
238139;4
237481;12
236543;1
236541;1
238282;14
225740;1
232531;0
238619;13
234731;1
238602;16
238543;14
231486;1
238717;9
233828;1
238024;1
237235;1
235402;1
238680;11
237011;1
236780;1
238725;3
238623;1
226456;1
238621;1
238620;12
238688;1
234290;1
238731;9
237239;1
238035;1
238718;7
238719;11
238747;15
228076;1
227619;1
238604;0
227393;1
214943;7
221742;1
238989;1
237594;1
239511;2
239414;8
238708;1
239405;14
239513;10
233657;1
235410;1
230226;10
239509;15
235781;1
221744;0
225989;1
239392;12
235747;1
232175;1
223907;1
239401;10
220889;1
217573;1
227969;1
223229;1
221274;1
240058;14
240437;6
235403;1
238033;1
240439;6
239387;1
240550;9
221768;1
236220;1
239908;1
240558;11
239904;3
239930;9
240369;2
238123;1
236643;1
227581;1
238616;1
236534;0
234289;0
238755;1
233659;1
239517;1
239931;1
239424;1
238682;1
239532;1
238679;1
234186;1
239389;1
240375;0
240054;1
240373;14
240052;12
240053;2
239933;14
240571;13
240374;11
238027;1
236539;0
235134;1
241347;8
227578;1
240993;6
236221;1
230219;1
237229;1
240445;1
216737;1
241060;4
242169;13
227990;1
229749;1
241895;6
231493;1
241886;6
241934;4
240372;1
238603;1
242164;4
235751;1
242174;8
238722;0
241960;0
235413;1
240562;1
221267;1
240972;4
238029;0
248450;9
248461;5
248456;0
227839;1
239403;0
244231;2
240992;1
227411;1
229684;1
242759;1
244234;4
248458;10
248459;8
244233;1
244232;8
248413;5
231478;0
248409;2
238723;0
232176;0
238729;0
239427;0
248482;8
248620;4
248574;9
239905;0
248578;9
248580;6
248619;8
248480;6
248582;6
248618;9
248614;2
249618;4
249595;7
241942;0
249070;6
248411;1
248415;1
249055;4
249612;8
248581;1
224089;0
249626;3
249597;6
249599;7
249080;0
249603;7
249063;3
249623;6
248617;1
249077;0
239421;1
249075;5
249570;7
216833;0
249061;8
248481;1
241044;0
249081;3
248622;1
238285;1
238709;0
238721;0
241008;1
244100;1
238746;1
250082;2
250278;0
250547;4
250283;0
250279;0
250246;0
250284;0
250043;0
250272;0
250241;0
250561;5
250267;0
250249;0
250261;0
250550;7
250546;4
250297;0
248583;2
250553;5
250131;7
250560;5
232585;2
250554;5
250138;0
244235;2
250296;0
250293;0
250568;4
230227;2
250564;5
250110;5
250562;5
250559;2
239519;0
250314;1
250044;7
240554;2
250556;2
248457;2
251095;0
251399;0
220046;1
251383;4
251396;3
251127;1
251227;3
251062;5
238720;1
251123;0
250555;1
238165;1
251385;4
251065;5
251392;3
239419;1
250576;1
244063;1
239512;1
251384;3
251060;1
250611;0
238677;1
251104;0
240576;1
251100;0
251380;1
251129;0
251203;0
251224;3
250106;1
251390;4
251391;3
251387;4
251074;0
251092;0
243967;1
238726;1
251050;0
249641;1
251393;3
251388;5
251376;1
198838;1
251069;0
238284;1
250549;1
251056;2
252132;3
230412;1
252095;2
251863;3
251358;1
251910;0
251873;0
235190;0
252130;3
252072;4
252096;3
248613;1
239395;1
250119;1
251419;4
252114;3
252172;1
251907;1
251911;2
251860;1
250558;1
252111;2
252127;4
250545;1
253117;2
253116;3
251225;1
251381;1
244092;1
253103;3
253049;1
253102;0
252330;3
253118;2
253099;0
253056;1
253156;3
250254;1
253120;1
253035;0
243150;1
235201;1
252963;3
251064;1
252957;0
253147;1
252964;3
249620;0
252339;3
253078;1
252338;0
253030;1
252337;0
238730;1
239522;1
239510;1
252961;1
235711;1
242165;1
252335;0
244068;0
253204;0
210573;1
253124;3
253164;2
252971;0
253121;1
250047;1
253504;1
253502;1
253206;2
243166;0
253498;1
253050;0
252958;1
253499;0
253634;1
253631;0
252890;0
253591;0
249596;1
253596;0
253598;0
238712;1
237237;1
239523;0
253638;1
253639;1
253171;0
253635;0
251861;1
253624;1
253623;0
253625;0
253632;0
249609;0
252960;1
253622;0
253205;1
253592;1
249622;1
215317;0
253594;0
248419;1
253633;1
253628;0
